spend_log_sd,seed,channel,metric,value
0.15,22,video,covered,1
0.15,22,search,relative_bias,-0.5455083611
0.15,22,search,covered,0
0.15,22,social,relative_bias,-0.04395134991
0.15,22,social,covered,1
0.15,22,ooh,relative_bias,-1
0.15,22,ooh,covered,1
0.15,22,all,median_abs_relative_bias,0.5455083611
0.15,22,all,spearman,0.9
0.15,22,all,regret,0.5396358768
0.15,22,all,beats_status_quo,1
0.15,22,all,achievable_lift_share,0.01183222963
0.15,22,all,shortfall_from_optimum_share,0.006385095608
0.15,22,all,loss_vs_status_quo_share,-0.005447134017
0.15,22,all,n_agreeing,3
0.15,23,tv,relative_bias,-0.1815139446
0.15,23,tv,covered,1
0.15,23,video,relative_bias,0.1478322922
0.15,23,video,covered,1
0.15,23,search,relative_bias,-0.4616227002
0.15,23,search,covered,0
0.15,23,social,relative_bias,-0.9212644169
0.15,23,social,covered,0
0.15,23,ooh,relative_bias,6.060295933
0.15,23,ooh,covered,1
0.15,23,all,median_abs_relative_bias,0.4616227002
0.15,23,all,spearman,0.4
0.15,23,all,regret,2.378682892
0.15,23,all,beats_status_quo,0
0.15,23,all,achievable_lift_share,0.01169060318
0.15,23,all,shortfall_from_optimum_share,0.02780823777
0.15,23,all,loss_vs_status_quo_share,0.01611763459
0.15,23,all,n_agreeing,3
0.15,24,tv,relative_bias,0.2588480025
0.15,24,tv,covered,1
0.15,24,video,relative_bias,0.2248425649
0.15,24,video,covered,1
0.15,24,search,relative_bias,0.2071704692
0.15,24,search,covered,1
0.15,24,social,relative_bias,0.4231017632
0.15,24,social,covered,1
0.15,24,ooh,relative_bias,4.212326104
0.15,24,ooh,covered,1
0.15,24,all,median_abs_relative_bias,0.2588480025
0.15,24,all,spearman,0.9
0.15,24,all,regret,0.8613451518
0.15,24,all,beats_status_quo,1
0.15,24,all,achievable_lift_share,0.01180474597
0.15,24,all,shortfall_from_optimum_share,0.01016796071
0.15,24,all,loss_vs_status_quo_share,-0.001636785261
0.15,24,all,n_agreeing,3
0.15,25,tv,relative_bias,-0.3981265199
0.15,25,tv,covered,0
0.15,25,video,relative_bias,-0.7843607508
0.15,25,video,covered,0
0.15,25,search,relative_bias,-0.800097993
0.15,25,search,covered,0
0.15,25,social,relative_bias,-0.2068381075
0.15,25,social,covered,1
0.15,25,ooh,relative_bias,6.80715103
0.15,25,ooh,covered,0
0.15,25,all,median_abs_relative_bias,0.7843607508
0.15,25,all,spearman,-0.3
0.15,25,all,regret,5.657981556
0.15,25,all,beats_status_quo,0
0.15,25,all,achievable_lift_share,0.01165141985
0.15,25,all,shortfall_from_optimum_share,0.06592351863
0.15,25,all,loss_vs_status_quo_share,0.05427209877
0.15,25,all,n_agreeing,3
0.15,26,tv,relative_bias,-0.24049808
0.15,26,tv,covered,1
0.15,26,video,relative_bias,3.19057314
0.15,26,video,covered,0
0.15,26,search,relative_bias,2.171850049
0.15,26,search,covered,0
0.15,26,social,relative_bias,0.3985345327
0.15,26,social,covered,1
0.15,26,ooh,relative_bias,0.1749182309
0.15,26,ooh,covered,1
0.15,26,all,median_abs_relative_bias,0.3985345327
0.15,26,all,spearman,0.7
0.15,26,all,regret,1.781148738
0.15,26,all,beats_status_quo,0
0.15,26,all,achievable_lift_share,0.01171204242
