arm,seed,median_abs_relative_bias,spearman,regret,beats_status_quo
baseline,158,0.4814819914,0.6,1.333343707,0
baseline,159,0.5894607214,0.3,1.820285247,0
baseline,160,0.6312816164,0.3,3.358283119,0
baseline,161,0.1825734064,0.9,2.215012816,0
baseline,162,0.4183270293,0.8,1.184251793,0
baseline,163,0.111980263,0.8,0.5340673122,1
baseline,164,0.4304342814,0.6,3.27991403,0
baseline,165,0.682310545,0.9,2.267294319,0
baseline,166,0.3102038446,0.7,0.9106390724,1
baseline,167,0.3736028414,0.7,0.7775511986,1
baseline,168,0.7326874341,0.3,2.410362176,0
baseline,169,0.3004766913,0.7,0.2020996334,1
baseline,170,0.4437362822,0.8,2.77921783,0
baseline,171,1.408192525,0.2,4.669258246,0
baseline,172,0.4283709936,0.7,0.9973232176,1
baseline,173,0.7342781197,0.6,0.4270004603,1
baseline,174,0.3435134083,0.8,4.181876554,0
baseline,175,0.3994949219,1,6.611712761,0
baseline,176,0.5134046327,0,3.900708555,0
baseline,177,0.2528020795,0.1,6.545660049,0
baseline,178,0.6094897082,0.5,2.186238892,0
baseline,179,0.3437897727,0.7,1.707864179,0
baseline,180,0.6774678379,0.5,3.224719819,0
baseline,181,1.339963278,0.3,1.256262649,0
baseline,182,0.6400821504,0.4,5.823879773,0
baseline,183,0.4775569023,0.9,2.20207401,0
baseline,184,0.3635871899,0.7,0.364584412,1
baseline,185,0.6348010382,0.9,2.306751778,0
baseline,186,0.3471575086,0.3,7.794073771,0
baseline,187,0.7466072069,0.7,0.8410217734,1
baseline,188,0.1781470179,1,0.6668887102,1
baseline,189,0.4831250715,0.9,4.063408346,0
baseline,190,0.9326895869,0.3,1.207503515,0
baseline,191,0.1817116547,0.7,0.6421631584,1
baseline,192,0.4146085957,0.4,0.2505613425,1
baseline,193,0.7514705933,0.5,3.766370315,0
baseline,194,0.210634341,0.3,2.40159154,0
baseline,195,0.499453197,1,1.117820654,0
baseline,196,0.5243275815,0.3,0.1106922569,1
baseline,197,0.8487009753,0.5,2.438506736,0
baseline,198,0.6916247583,-0.1,5.374581941,0
baseline,199,0.355598764,0.8,1.704419543,0
flighted,0,0.4893481915,0.8,2.632130699,0
flighted,1,0.1355603676,1,2.641607758,0
flighted,2,0.3489983966,0.7,1.007621881,0
flighted,3,0.4624493146,0.9,0.8425622203,1
flighted,4,0.6646371658,0.5,6.086440471,0
flighted,5,0.1605797768,0.9,0.4207278098,1
flighted,6,0.1304378086,1,1.268648382,0
flighted,7,1.336991824,-0.6,0.5105681832,1
flighted,9,0.3679123605,0.9,0.5822453502,1
flighted,10,0.2150185436,0.7,6.928914661,0
flighted,11,0.2429674985,0.7,0.009410273854,1
flighted,12,0.3113136361,0.9,1.235319842,0
flighted,13,0.1011926335,0.6,0.01578737466,1
flighted,14,0.3392682118,0.5,3.585691988,0
flighted,15,0.270555048,0.7,7.264104186,0
flighted,16,0.2696181445,0.7,1.106706332,0
flighted,17,0.5354499522,0.6,0.613530019,1
flighted,18,0.7543747759,0.7,8.736506887,0
flighted,19,0.1520162963,0.9,3.518765205,0
flighted,20,0.2293579561,0.9,0.6056212332,1
flighted,21,0.2462614185,0.9,3.532673931,0
flighted,22,0.2003297926,1,2.830939697,0
flighted,23,0.3869608722,0.9,3.765564807,0
flighted,24,0.1446775257,0.6,0.6473376295,1
flighted,25,0.3418507641,0.9,0.7219273408,1
flighted,26,0.8158108048,0.6,6.050394046,0
flighted,27,0.4180514027,0.7,0.5294824485,1
flighted,28,0.3666764729,0.6,0.6108857553,1
flighted,29,0.4397073655,0.7,0.7282132332,1
flighted,30,0.3121542675,0.7,2.528329162,0
flighted,31,0.2442748698,0.7,6.796353381,0
flighted,32,0.109226932,0.9,3.922445085,0
flighted,33,0.3234968916,0.8,3.089324599,0
flighted,34,0.3389338983,0.7,1.683905985,0
flighted,35,0.5303505662,0.5,4.705713183,0
flighted,36,0.105079235,0.3,0.9237487264,1
flighted,37,0.1902841962,0.6,4.319313303,0
flighted,38,0.6425542759,0.7,2.973924608,0
flighted,39,0.2904922852,0.9,4.742382887,0
flighted,40,0.40548182,0.9,0.882546929,1
flighted,41,0.08601747079,0.9,2.242147525,0
flighted,42,0.3163847044,0.7,6.252880658,0
flighted,43,0.4995810491,0.5,2.47763394,0
flighted,44,0.2794744091,0.9,7.178283421,0
flighted,45,0.1343979817,0.9,2.831084385,0
flighted,46,0.2798910807,0.3,1.010609918,0
flighted,47,0.08926302379,0.4,1.176427239,0
flighted,48,0.1745917077,0.7,1.329079331,0
flighted,49,0.2967786214,0.7,0.6121793096,1
flighted,50,0.3119809348,0.9,2.7586351,0
flighted,51,0.614434205,0.9,4.930177511,0
flighted,52,0.3468033789,0.7,8.604171507,0
flighted,53,0.326342547,0.9,10.6423368,0
flighted,54,0.1471470071,0.9,2.303123022,0
flighted,55,0.6909398198,0.8,3.334242715,0
flighted,56,0.3249873378,0.7,1.583000896,0
flighted,57,0.5562384344,0.7,5.615286546,0
flighted,58,0.5140947222,0.6,0.5126213193,1
flighted,59,0.1231725081,0.9,0.5796242437,1
flighted,60,0.4398015122,0.2,0.6498201125,1
flighted,61,0.1236777693,0.9,2.148946826,0
flighted,62,0.227403301,0.7,0.567112328,1
flighted,63,0.8930075557,0.6,3.006410659,0
flighted,64,0.3247227784,0.6,1.090715362,0
flighted,65,0.3867600273,0.2,2.694825669,0
flighted,66,0.5567459014,0.7,6.841433831,0
flighted,67,0.3282100981,0.9,7.263438402,0
flighted,68,0.8028140014,0.8,3.437151688,0
flighted,69,0.4424095848,0.3,2.742526517,0
flighted,70,0.06397931265,0.9,1.222081766,0
flighted,71,0.386758062,0.9,2.590974483,0
flighted,72,0.3062826452,0.9,5.127024202,0
flighted,73,0.4173708313,0.9,4.203896424,0
flighted,74,0.05583930596,0.9,7.786780548,0
flighted,75,0.3644746811,0.7,2.904842291,0
flighted,76,0.2307554073,0.9,2.42117612,0
flighted,77,0.1371256279,1,1.47621156,0
flighted,78,0.2930326299,1,2.903078019,0
flighted,79,0.5008910543,0.6,5.297291422,0
flighted,80,0.221023149,0.9,4.736128452,0
flighted,81,0.4230496208,0.9,7.812171987,0
flighted,82,0.6057294457,0.7,3.318779966,0
flighted,83,0.395336078,0.7,8.260728735,0
flighted,84,0.1956491988,0.9,2.563928993,0
flighted,85,0.781934068,0.6,9.610561838,0
flighted,86,0.1320982675,0.7,5.053219509,0
flighted,87,0.3516236205,0.8,3.455897946,0
flighted,88,0.2593077645,0.4,1.497519564,0
flighted,89,0.2747060856,0.7,5.293813044,0
flighted,90,0.4641298534,0.9,9.056710883,0
flighted,91,0.1926285551,0.6,0.4689438956,1
flighted,92,0.6150744917,0.3,0.8468196858,1
flighted,93,0.4004767735,0.7,6.410747083,0
flighted,94,0.6069090502,0.5,0.9131509381,1
flighted,95,0.3027120367,0.9,2.943567881,0
flighted,96,0.1618868579,0.9,5.120176758,0
flighted,97,0.253894764,0.9,2.565019022,0
flighted,98,0.1140143832,1,2.619690188,0
flighted,99,0.3392873994,0.8,7.335017458,0
flighted,100,0.5352245853,0.7,4.546407698,0
flighted,102,0.5019047517,0.7,6.132647894,0
flighted,103,0.31680702,0.9,2.531097757,0
flighted,104,0.1239887714,0.9,2.998341718,0
flighted,105,0.3650322945,0.9,3.165214657,0
flighted,106,0.1133913249,0.7,0.3172815767,1
flighted,107,0.09789859159,0.9,1.458839936,0
flighted,108,0.3750514915,0.9,3.588883542,0
flighted,109,0.4016193957,1,5.907147202,0
flighted,110,0.6586853004,0.9,8.253225466,0
flighted,111,0.5001140712,0.7,1.21023019,0
flighted,112,0.1994739929,0.9,1.258034734,0
flighted,113,0.6142243733,0.8,2.885249095,0
flighted,114,0.2233470894,0.7,0.7510474934,1
flighted,115,0.6272987803,0.9,7.524683997,0
flighted,116,0.2470768967,0.9,1.618869806,0
flighted,117,0.1540668401,0.7,0.7562819795,1
flighted,118,0.5473874495,0.1,0.6276920544,1
flighted,119,0.3298305068,0.8,3.385483028,0
flighted,120,0.7647871542,0.7,5.21130421,0
flighted,121,0.281234848,0.7,5.07153391,0
flighted,122,0.311697596,0.9,3.256195477,0
flighted,123,0.6054374342,0.8,2.605423357,0
flighted,124,0.2519695341,0.6,1.061015314,0
flighted,125,0.1594454402,0.7,0.5775009893,1
flighted,126,0.3717878307,0.8,4.089401825,0
flighted,127,0.7804241978,0.8,2.275553606,0
flighted,128,0.2281905706,1,0.2502888887,1
flighted,129,0.2105954971,0.9,2.942878196,0
flighted,130,0.1944497508,0.9,2.317959882,0
flighted,131,0.220173432,0.7,9.282525851,0
flighted,132,0.6768196604,0.7,8.334566108,0
flighted,133,0.131008793,0.5,6.878388064,0
flighted,134,0.3547947663,1,1.206688618,0
flighted,135,0.4325727746,0.9,2.998253086,0
flighted,136,0.7505915395,0.8,2.661888866,0
flighted,137,0.5761579885,0.7,8.105881074,0
flighted,138,0.2063102919,0.9,3.221201538,0
flighted,139,0.5002363979,0.9,1.059442916,0
flighted,140,0.4795568554,0.9,2.865949631,0
flighted,141,0.3042754243,0.8,2.623916569,0
flighted,142,0.268005954,1,2.559631544,0
flighted,143,0.3461040779,0.9,5.585805352,0
flighted,144,0.3602771777,0.9,0.1902733925,1
flighted,145,0.1602966303,0.9,2.99423268,0
flighted,146,0.2065560254,0.7,0.4728676489,1
flighted,147,0.1944855361,0.7,5.865344319,0
flighted,148,0.4382830381,0.9,0.4828575699,1
flighted,149,0.4210370499,0.9,2.481304685,0
flighted,150,0.09383216254,0.9,5.314818032,0
flighted,151,0.3123156819,0.7,3.052562937,0
flighted,152,0.09066996804,0.6,2.872050976,0
flighted,153,0.07899056057,0.9,1.034805391,0
flighted,154,0.402909266,1,2.970235352,0
flighted,155,0.1340841321,0.9,5.564409555,0
flighted,156,0.5848329734,0.7,3.497077689,0
flighted,157,0.2503023838,0.9,2.582449269,0
flighted,158,0.2915656556,0.9,8.576075239,0
flighted,159,0.1379919658,1,3.717311288,0
flighted,160,0.2948261143,0.9,0.9792986051,1
flighted,161,0.2010627791,0.9,0.3629826057,1
flighted,162,0.1614660994,0.9,0.127653537,1
flighted,163,0.7529253466,0.7,5.84077263,0
flighted,164,0.3263100866,0.7,6.42982759,0
flighted,165,0.2829613706,0.7,1.717122882,0
flighted,166,0.313862358,0.7,0.7273611676,1
flighted,167,0.277465072,0.7,7.934906245,0
flighted,168,0.4091019019,0.3,4.394058053,0
flighted,169,0.186053283,0.8,3.587120961,0
flighted,170,0.8650097208,0.7,8.211297257,0
flighted,171,0.2108092085,0.8,3.409037315,0
flighted,172,0.2473563695,1,1.108085177,0
flighted,173,0.04559291307,0.9,0.5765270707,1
flighted,174,0.3336272031,0.5,6.801083091,0
flighted,175,0.1273042427,0.8,2.841417866,0
flighted,176,0.4278914322,0.5,2.543206971,0
flighted,177,0.3952233475,0.7,0.6893062607,1
flighted,178,0.2934775637,0.7,5.511632292,0
flighted,179,0.1161877628,0.9,3.003749072,0
flighted,180,0.2006877744,0.9,8.451264172,0
flighted,181,0.5060071156,0.6,6.499770325,0
flighted,182,0.3277092074,0.7,4.964064457,0
flighted,183,0.3657721254,0.7,4.924368767,0
flighted,184,0.2876180607,0.4,1.141498988,0
flighted,185,0.563224361,0.6,6.108653391,0
flighted,186,0.5243691632,0.5,1.750563871,0
flighted,187,0.891964624,0.5,5.156802534,0
flighted,188,0.3014947885,0.7,8.814789852,0
flighted,189,0.2537248846,0.9,0.840059353,1
flighted,190,0.2096252706,0.9,7.312408442,0
flighted,191,0.07196656167,1,1.520055019,0
flighted,192,0.1490999604,0.4,0.4343865069,1
flighted,193,0.2058679278,0.8,4.255946803,0
flighted,194,0.2781916197,0.7,5.989710925,0
flighted,195,0.03700701478,0.9,3.99134563,0
flighted,196,0.217847099,0.6,7.787803062,0
flighted,197,0.1060087701,0.9,3.331599251,0
flighted,198,0.1381657759,0.9,2.217936029,0
flighted,199,0.1503883501,0.9,0.7952339354,1
flighted,8,,,,
flighted,101,,,,
