series,hill_shape,half_saturation_ratio,half_saturation,cv_rmse,tv_contribution,relative_bias
noisy,0.9,0.9117586147,49.88448055,31.01209044,104090.0137,1.002154078
noisy,0.9,0.9871033687,54.00677109,31.00553282,100648.3426,0.9359541064
noisy,0.9,1.068674367,58.46971426,30.99917639,97427.94184,0.8740102351
noisy,0.9,1.156986126,63.30146048,30.99326778,94414.66713,0.8160503978
noisy,0.9,1.252595681,68.53248642,30.98779799,91595.30651,0.7618204659
noisy,0.9,1.356106097,74.19578726,30.98275554,88957.51328,0.7110829524
noisy,0.9,1.468170276,80.32708479,30.97812681,86489.744,0.6636158212
noisy,0.9,1.589495072,86.96505272,30.9738963,84181.20165,0.6192113936
noisy,0.9,1.720845753,94.15156064,30.97004696,82021.7834,0.5776753432
noisy,0.9,1.863050826,101.9319381,30.96656051,80002.0325,0.538825771
noisy,0.9,2.017007261,110.3552605,30.96341772,78113.09405,0.5024923545
noisy,0.9,2.183686153,119.4746588,30.96059869,76346.67426,0.468515564
noisy,0.9,2.364138845,129.3476544,30.95808314,74695.00283,0.4367459392
noisy,0.9,2.559503557,140.0365221,30.95585061,73150.79825,0.4070434214
noisy,0.9,2.771012572,151.6086829,30.95388075,71707.23574,0.3792767368
noisy,0.9,3,164.1371293,30.95215346,70357.9175,0.3533228253
noisy,1,0.3,16.41371293,31.17115678,181382.3682,2.488859643
noisy,1,0.3247910202,17.77008856,31.15614682,171786.8132,2.304290741
noisy,1,0.3516306893,19.23855064,31.14146661,162876.8581,2.13290924
noisy,1,0.380688301,20.82836163,31.12717868,154601.5873,1.973735784
noisy,1,0.4121471388,22.5495494,31.11334149,146914.1246,1.825868718
noisy,1,0.4462056322,24.41297052,31.10000857,139771.3035,1.688477743
noisy,1,0.4830786083,26.43037866,31.08722777,133133.361,1.560798025
noisy,1,0.5229986467,28.61449883,31.07504071,126963.654,1.44212474
noisy,1,0.5662175466,30.97910756,31.06348225,121228.3976,1.331808037
noisy,1,0.6130079154,33.53911982,31.05258029,115896.4231,1.229248397
noisy,1,0.6636648873,36.31068314,31.04235557,110938.9572,1.133892366
noisy,1,0.718507986,39.3112794,31.03282174,106329.4181,1.045228649
noisy,1,0.7778831392,42.55983514,31.02398551,102043.2303,0.9627845399
noisy,1,0.8421648612,46.07684091,31.01584694,98057.6551,0.8861226646
noisy,1,0.9117586147,49.88448055,31.00820387,94351.63691,0.814838022
noisy,1,0.9871033687,54.00677109,31.00016423,90905.66332,0.7485552939
noisy,1,1.068674367,58.46971426,30.99278172,87701.63832,0.6869264066
noisy,1,1.156986126,63.30146048,30.98604077,84722.76737,0.62962832
noisy,1,1.252595681,68.53248642,30.97992158,81953.45325,0.5763610241
noisy,1,1.356106097,74.19578726,30.97440062,79379.20165,0.5268457233
noisy,1,1.468170276,80.32708479,30.96945127,76986.53549,0.4808231883
noisy,1,1.589495072,86.96505272,30.96504438,74762.91715,0.4380522599
noisy,1,1.720845753,94.15156064,30.96114888,72696.67768,0.3983084877
