max_multiplier,seed,regret,beats_status_quo,achievable_lift_share,channels_on_upper_bound,channels_zeroed_model,channels_zeroed_truth
1.3,136,0.6703017132,1,0.01099428032,1,0,1
1.3,137,2.636998458,0,0.01163938828,3,1,1
1.3,138,3.091840749,0,0.01087094006,2,1,1
1.3,139,2.784815523,0,0.01129973811,2,1,1
1.3,140,0.8686557308,1,0.01146135941,0,0,1
1.3,141,2.775603948,0,0.01151205692,1,1,1
1.3,142,0.7372238548,1,0.01122739634,1,0,1
1.3,143,1.017315775,0,0.0111063612,1,0,1
1.3,144,1.347836472,0,0.01149873997,2,1,1
1.3,145,0.09006121695,1,0.01114157053,1,1,1
1.3,146,2.742616284,0,0.01114442431,1,1,1
1.3,147,1.22145261,0,0.01117911798,2,1,1
1.3,148,0.4460802075,1,0.01111901384,1,1,1
1.3,149,0.02055316993,1,0.01160421686,1,1,1
1.3,150,2.432989409,0,0.01138379053,2,1,1
1.3,151,0.6352627889,1,0.01093521131,1,0,1
1.3,152,0.3152478772,1,0.01174375674,2,1,1
1.3,153,2.797177826,0,0.01115158955,2,1,1
1.3,154,1.43827947,0,0.01115380137,1,1,1
1.3,155,2.512786956,0,0.01131236417,3,1,1
1.3,156,1.941955789,0,0.01070138356,1,1,1
1.3,157,1.406165364,0,0.01130850046,1,1,1
1.3,158,1.318861549,0,0.01129100443,1,1,1
1.3,159,1.730907827,0,0.01126434067,1,1,1
1.3,160,1.194825971,0,0.0117739821,1,1,1
1.3,161,1.263796278,0,0.01149679389,2,1,1
1.3,162,1.418184393,0,0.01093794337,1,1,1
1.3,163,0.5190516664,1,0.01096134521,0,0,1
1.3,164,2.658083158,0,0.01114686603,2,1,1
1.3,165,2.51713091,0,0.01128314959,2,1,1
1.3,166,1.406872693,0,0.01138742518,1,1,1
1.3,167,0.4594157942,1,0.01092220017,2,0,1
1.3,168,2.617980131,0,0.01170231437,3,1,1
1.3,169,0.1878251381,1,0.01101350238,1,1,1
1.3,170,1.952762343,0,0.01153000968,2,1,1
1.3,171,2.737370528,0,0.0112374772,3,1,1
1.3,172,0.8766572053,1,0.01127108405,1,0,1
1.3,173,0.6411893243,1,0.01164357346,1,0,1
1.3,174,1.604664278,0,0.01097531731,2,1,1
1.3,175,0.182050591,1,0.01173520609,1,1,1
1.3,176,2.867496702,0,0.01155098183,3,1,1
1.3,177,0.690138401,1,0.01117786082,0,0,1
1.3,178,2.347703123,0,0.01152300027,2,1,1
1.3,179,1.693541335,0,0.01092527687,1,1,1
1.3,180,2.567363956,0,0.01162921772,2,1,1
1.3,181,1.257619271,0,0.01025826159,0,0,1
1.3,182,0.5093880643,1,0.01137187138,0,0,1
1.3,183,0.08241126026,1,0.01123701317,1,1,1
1.3,184,0.3083742048,1,0.01055650026,2,1,1
1.3,185,1.181989276,0,0.01134154928,2,2,1
1.3,186,2.890397631,0,0.01057518134,3,1,1
1.3,187,0.8326787601,1,0.01168841669,0,0,1
1.3,188,0.6130680691,1,0.01130364036,1,0,1
1.3,189,1.189510807,0,0.01108637588,2,2,1
1.3,190,1.314159988,0,0.01095770029,2,1,1
1.3,191,0.716267848,1,0.0115509243,1,0,1
1.3,192,0.2335787766,1,0.01082996787,0,1,1
1.3,193,2.82733578,0,0.011014389,2,1,1
1.3,194,2.398219295,0,0.01148957588,1,1,1
1.3,195,1.12208456,0,0.01147830341,0,0,1
1.3,196,0.1517645743,1,0.01127009525,1,1,1
1.3,197,2.53700425,0,0.01097292079,3,1,1
1.3,198,2.978887211,0,0.01171736441,3,0,1
1.3,199,1.352526826,0,0.01165487486,2,1,1
1.5,0,1.330283212,0,0.01173353762,2,1,1
1.5,1,3.096195087,0,0.0120633535,3,1,1
1.5,2,1.061775792,0,0.01114675476,0,2,1
1.5,3,2.530325242,0,0.01169833353,2,2,1
1.5,4,2.466627803,0,0.01175862172,0,1,1
1.5,5,2.679780679,0,0.01130641941,2,2,1
1.5,6,2.975536511,0,0.01160322499,1,1,1
1.5,7,0.2413624941,1,0.01194560754,0,1,1
1.5,8,2.580973671,0,0.01098918845,0,1,1
1.5,9,4.097294117,0,0.011340044,3,1,1
1.5,10,2.875384327,0,0.01177286186,1,1,1
1.5,11,2.812721609,0,0.0114725504,1,1,1
1.5,12,3.367395992,0,0.0112791428,2,1,1
1.5,13,1.278056987,0,0.01117413009,1,1,1
1.5,14,3.793510413,0,0.01056962944,3,1,1
1.5,15,1.408626711,0,0.01194550317,1,1,1
1.5,16,0.1640970461,1,0.01084632798,0,1,1
1.5,17,2.864106313,0,0.01170671204,0,1,1
1.5,18,0.4570706092,1,0.01159099473,0,1,1
1.5,19,1.422186593,0,0.01152233558,1,1,1
1.5,20,2.40760891,0,0.01230071522,1,2,1
1.5,21,1.394650658,0,0.01115099576,1,0,1
1.5,22,2.71293782,0,0.01158522536,1,1,1
1.5,23,0.8085489911,1,0.01136428685,0,0,1
1.5,24,3.499682575,0,0.01168126924,1,2,1
1.5,25,2.808170501,0,0.01126043056,1,1,1
1.5,26,1.677811334,0,0.01134785591,0,0,1
1.5,27,2.72473418,0,0.01132966693,1,1,1
1.5,28,2.560713434,0,0.01116880493,1,1,1
1.5,29,3.528635935,0,0.01124139665,2,1,1
1.5,30,2.620550494,0,0.01160447672,0,1,1
1.5,32,4.915071123,0,0.01131595334,4,0,1
1.5,33,1.137427909,0,0.01181595628,1,1,1
1.5,34,0.06347087378,1,0.01186197486,0,1,1
1.5,35,2.139708201,0,0.01151289765,1,2,1
1.5,36,3.348120001,0,0.01119246295,2,1,1
1.5,37,0.4433913293,1,0.01180916542,0,0,1
1.5,38,4.764072805,0,0.01146325459,3,0,1
1.5,39,1.27355464,0,0.01182707987,0,1,1
1.5,40,1.739131727,0,0.01189563699,1,1,1
1.5,41,1.513871387,0,0.0115882317,0,1,1
1.5,42,0.4589066776,1,0.0124976568,0,0,1
1.5,43,2.245372379,0,0.01194445171,2,2,1
1.5,44,2.591021463,0,0.01076345184,1,2,1
1.5,45,2.080792855,0,0.01146754301,1,1,1
1.5,46,2.43955695,0,0.01122943695,1,1,1
1.5,47,1.413660553,0,0.01155365328,0,1,1
1.5,48,0.9389508898,1,0.01153939776,1,2,1
1.5,49,2.625426401,0,0.01134157495,1,1,1
1.5,50,1.372230211,0,0.01227667974,1,1,1
1.5,51,1.059715701,0,0.01136857506,0,0,1
1.5,52,1.235909402,0,0.01121135809,1,1,1
1.5,53,0.9499020836,1,0.01138881798,1,2,1
1.5,54,0.5267383969,1,0.01246678327,0,0,1
1.5,55,1.46311569,0,0.01153386731,0,1,1
1.5,56,0.5900986633,1,0.01253454732,1,1,1
1.5,57,2.424184814,0,0.01252427159,0,1,1
1.5,58,0.984429156,1,0.01124496406,1,1,1
1.5,59,2.415534702,0,0.01167785591,1,2,1
1.5,60,2.345208712,0,0.01185610738,2,1,1
1.5,61,0.4858830403,1,0.01159149709,1,0,1
1.5,62,0.2598342889,1,0.01176390791,0,1,1
1.5,63,0.9409707357,1,0.01149346283,1,0,1
1.5,64,0.9719357149,1,0.01168801209,0,0,1
1.5,65,2.480365143,0,0.01186389788,1,2,1
1.5,66,3.329061158,0,0.01152490236,1,1,1
1.5,67,0.9937725461,1,0.01183464962,1,2,1
1.5,68,1.099398091,0,0.01088345402,0,2,1
1.5,69,1.478055411,0,0.01167100254,1,1,1
1.5,70,2.6317872,0,0.01142147585,1,1,1
1.5,71,0.6172968757,1,0.01182135916,0,0,1
1.5,72,1.260173186,0,0.01158782266,1,1,1
1.5,73,1.419394814,0,0.01196154665,0,1,1
1.5,74,4.78093091,0,0.01182318348,4,0,1
1.5,75,2.356742898,0,0.01125631426,1,1,1
1.5,76,3.130924847,0,0.01151507282,2,2,1
1.5,77,2.590487577,0,0.01176377453,0,1,1
1.5,78,2.39882844,0,0.01231357758,0,1,1
1.5,79,2.737247572,0,0.01170098858,1,1,1
1.5,80,1.230459709,0,0.01130896677,0,0,1
1.5,81,2.586920374,0,0.01260615539,1,1,1
1.5,82,1.40148371,0,0.01173807344,1,1,1
1.5,83,2.468923997,0,0.01154151494,1,1,1
1.5,84,1.453485892,0,0.01077911291,0,1,1
1.5,85,2.419186945,0,0.01096436751,2,1,1
